Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm5305841,2015-03-06,2015-03-06,,Kriti Sanon,Dilwale,
2,nm5744729,2015-03-06,2015-03-06,,Vaani Kapoor,Shuddh Desi Romance,
3,nm6911557,2015-03-06,2015-03-06,,Aishwarya Arjun,Pattathu Yaanai,
4,nm6404768,2015-03-06,2015-03-06,,Fenil Umrigar,Dil Se Di Dua... Saubhagyavati Bhava?,
5,nm5711339,2015-04-17,2015-04-17,,Amyra Dastur,Anegan,1993-05-07
6,nm2601111,2015-03-06,2015-03-06,,Nazriya Nazim,Bangalore Days,
7,nm5528429,2015-03-06,2015-03-06,,Catherine Tresa,Madras,
8,nm2548692,2015-03-06,2015-03-06,,Sharmiela Mandre,Sajni,1990-10-18
9,nm1017633,2015-03-06,2015-03-06,,Alia Bhatt,Highway,1993-03-15
10,nm5599013,2015-03-06,2015-03-06,,Rhea Chakraborty,Mere Dad Ki Maruti,1992-07-01
11,nm7021807,2015-03-06,2015-03-06,,Mrunal Thakur,Love Sonia,
12,nm5361980,2015-03-06,2015-03-06,,Mansi Srivastava,Love by Chance,
13,nm6293193,2015-03-06,2015-03-06,,Sargun Mehta,Angrej,
14,nm5299972,2015-03-06,2015-03-06,,Deepika Singh,Diya Aur Baati Hum,
15,nm6466916,2015-03-06,2015-03-06,,Manasvi Mamgai,Action Jackson,
16,nm1759835,2015-03-06,2015-03-06,,Zoya Afroz,Prakatana,
17,nm5875122,2015-03-06,2015-03-06,,Erica Fernandes,Kuch Rang Pyar Ke Aise Bhi,
18,nm6130777,2015-03-06,2015-03-06,,Nicole Faria,Bir Baba Hindu,
19,nm5156947,2015-03-06,2015-03-06,,Pooja Gaur,Mann Kee Awaaz Pratigya,
20,nm5011985,2015-03-06,2015-03-06,,Nia Sharma,Jamai Raja,
21,nm4898167,2015-03-06,2015-03-06,,Asha Negi,Pavitra Rishta,
22,nm5537554,2015-03-06,2015-03-06,,Sonarika Bhadoria,Devon Ke Dev... Mahadev,1972-12-03
23,nm3814795,2015-03-06,2015-03-06,,Krystle D'Souza,Belan Wali Bahu,
24,nm5114849,2015-03-06,2015-03-06,,Rakul Preet Singh,Nannaku Prematho,1990-10-10
25,nm5091766,2015-03-06,2015-03-06,,Aakanksha Singh,Na Bole Tum Na Maine Kuch Kaha,1990-07-30
26,nm4974224,2015-03-06,2015-03-06,,Nandita Raj,Prema Katha Chitram,
27,nm5627129,2015-03-06,2015-03-06,,Asmita Sood,Phir Bhi Na Maane Badtameez Dil,
28,nm5992649,2015-03-06,2015-03-06,,Tridha Choudhury,Mishawr Rawhoshyo,1989-11-22
29,nm5675978,2015-03-06,2015-03-06,,Elli Avrram,The Verdict - State Vs Nanavati,
30,nm3367906,2015-03-06,2015-03-06,,Subhasree Ganguly,Parineeta,1990-11-03
31,nm3898762,2015-03-11,2015-03-11,,Amala Paul,Mynaa,1991-10-26
32,nm3912256,2015-05-27,2015-05-27,,Pranitha,Brahma,
33,nm5856898,2015-06-18,2015-06-18,,Urvashi Rautela,Kaabil,1994-02-25
